scheduler,batch_size,hidden_nodes,accuracy
None,32,32,0.9003436426116839
None,32,64,0.8854524627720504
None,32,128,0.872852233676976
None,64,32,0.8797250859106529
None,64,64,0.8132875143184422
None,64,128,0.8671248568155785
None,128,32,0.865979381443299
None,128,64,0.7857961053837342
None,128,128,0.8235967926689576
StepLR,32,32,0.9003436426116839
StepLR,32,64,0.8820160366552119
StepLR,32,128,0.868270332187858
StepLR,64,32,0.8797250859106529
StepLR,64,64,0.8132875143184422
StepLR,64,128,0.8109965635738832
StepLR,128,32,0.854524627720504
StepLR,128,64,0.7663230240549829
StepLR,128,128,0.7766323024054983
ReduceLROnPlateau,32,32,0.9003436426116839
ReduceLROnPlateau,32,64,0.8854524627720504
ReduceLROnPlateau,32,128,0.8396334478808706
ReduceLROnPlateau,64,32,0.8797250859106529
ReduceLROnPlateau,64,64,0.8132875143184422
ReduceLROnPlateau,64,128,0.7892325315005727
ReduceLROnPlateau,128,32,0.32989690721649484
ReduceLROnPlateau,128,64,0.7857961053837342
ReduceLROnPlateau,128,128,0.7766323024054983
CosineAnnealingLR,32,32,0.9003436426116839
CosineAnnealingLR,32,64,0.8671248568155785
CosineAnnealingLR,32,128,0.8373424971363116
CosineAnnealingLR,64,32,0.8751431844215349
CosineAnnealingLR,64,64,0.7857961053837342
CosineAnnealingLR,64,128,0.7938144329896907
CosineAnnealingLR,128,32,0.7422680412371134
CosineAnnealingLR,128,64,0.7457044673539519
CosineAnnealingLR,128,128,0.7331042382588774
