scheduler,batch_size,hidden_nodes,accuracy
StepLR,16,32,0.40471512770137524
StepLR,16,64,0.41453831041257366
StepLR,16,128,0.5520628683693517
StepLR,32,32,0.40078585461689586
StepLR,32,64,0.4086444007858546
StepLR,32,128,0.40078585461689586
StepLR,64,32,0.3948919449901768
StepLR,64,64,0.3968565815324165
StepLR,64,128,0.4066797642436149
StepLR,128,32,0.20235756385068762
StepLR,128,64,0.2318271119842829
StepLR,128,128,0.25343811394891946
ReduceLROnPlateau,16,32,0.40078585461689586
ReduceLROnPlateau,16,64,0.412573673870334
ReduceLROnPlateau,16,128,0.5520628683693517
ReduceLROnPlateau,32,32,0.40078585461689586
