lr,scheduler,batch_size,hidden_nodes,dropout,weight_decay,accuracy
0.001,,32,32,0.0,0.1,0.8957617411225659
0.001,,32,32,0.0,0.01,0.8877434135166093
0.001,,32,32,0.0,0.001,0.8854524627720504
0.001,,32,32,0.1,0.1,0.8751431844215349
0.001,,32,32,0.1,0.01,0.8934707903780069
0.001,,32,32,0.1,0.001,0.8820160366552119
0.001,,32,32,0.2,0.1,0.8797250859106529
0.001,,32,32,0.2,0.01,0.8854524627720504
0.001,,32,32,0.2,0.001,0.8808705612829324
0.001,,32,64,0.0,0.1,0.8969072164948454
0.001,,32,64,0.0,0.01,0.8957617411225659
0.001,,32,64,0.0,0.001,0.8923253150057274
0.001,,32,64,0.1,0.1,0.8934707903780069
0.001,,32,64,0.1,0.01,0.8911798396334479
0.001,,32,64,0.1,0.001,0.8888888888888888
0.001,,32,64,0.2,0.1,0.8739977090492554
0.001,,32,64,0.2,0.01,0.8797250859106529
0.001,,32,64,0.2,0.001,0.8808705612829324
0.001,,32,128,0.0,0.1,0.8487972508591065
